Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
350203041,512,126,,,,,,,,,,0.000,7.812,Device,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,[CUDA memset]
350262370,2190615,128,,,,,,,,,,41.943,19126.026,Pageable,Device,NVIDIA GeForce RTX 5070 Ti (0),1,,7,[CUDA memcpy Host-to-Device]
352467065,61825,131,,,,,,,,,,41.943,678386.729,Device,Device,NVIDIA GeForce RTX 5070 Ti (0),1,,7,[CUDA memcpy Device-to-Device]
352546938,256,134,,,,,,,,,,0.000,15.625,Device,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,[CUDA memset]
353210881,34720,138,8192,1,1,256,1,1,35,0.000,0.001,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::cfl_kernel(<unnamed>::DeviceState, float, float *)"
353251585,864,141,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,<unnamed>::finish_cfl_kernel(float *)
353256066,53760,144,16384,1,1,256,1,1,36,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
353317090,447685,147,16384,1,1,256,1,1,128,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::pencil_kernel(<unnamed>::DeviceState, <unnamed>::DeviceState, const float *, const float *, float, float *, float *, int, int)"
353767047,178786,149,16384,1,1,256,1,1,36,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
353947273,1922196,151,16384,1,1,256,1,1,128,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::pencil_kernel(<unnamed>::DeviceState, <unnamed>::DeviceState, const float *, const float *, float, float *, float *, int, int)"
355870365,192482,153,16384,1,1,256,1,1,36,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
356064896,1310446,155,16384,1,1,256,1,1,128,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::pencil_kernel(<unnamed>::DeviceState, <unnamed>::DeviceState, const float *, const float *, float, float *, float *, int, int)"
357377710,63392,157,16384,1,1,256,1,1,36,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
357443246,448901,159,16384,1,1,256,1,1,128,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::pencil_kernel(<unnamed>::DeviceState, <unnamed>::DeviceState, const float *, const float *, float, float *, float *, int, int)"
357892787,180386,161,16384,1,1,256,1,1,36,0.000,0.003,,,,,NVIDIA GeForce RTX 5070 Ti (0),1,,7,"<unnamed>::alpha_kernel(<unnamed>::DeviceState, int, float *)"
